date,rain_possibility,highest temperature,lowest temperature,wind_speed,subway passengers
2020-01-01,28.750000,4.750000,-1.750000,0.637500,54602
2020-01-02,5.000000,5.000000,-3.000000,0.800000,136661
2020-01-03,6.250000,6.000000,-3.000000,0.700000,144293
2020-01-04,0.000000,6.000000,-2.250000,0.812500,100683
2020-01-05,25.000000,4.625000,1.250000,0.562500,69803
2020-01-06,75.000000,6.000000,4.250000,0.725000,138355
2020-01-07,73.750000,5.125000,2.250000,1.600000,136160
2020-01-08,11.250000,3.250000,-3.000000,1.187500,142760
2020-01-09,7.500000,3.875000,-2.500000,0.787500,142664
2020-01-10,12.500000,4.000000,-2.000000,0.700000,148344
2020-01-11,20.000000,2.250000,-3.250000,0.800000,108349
2020-01-12,0.000000,1.125000,-4.000000,1.112500,71992
2020-01-13,16.250000,1.875000,-4.250000,0.850000,140538
2020-01-14,2.500000,2.000000,-4.750000,0.837500,142514
2020-01-15,7.500000,3.125000,-4.000000,0.862500,143776
2020-01-16,17.500000,4.875000,-3.750000,0.762500,143637
2020-01-17,12.500000,5.750000,-2.500000,0.700000,148369
2020-01-18,15.000000,6.125000,-1.500000,0.687500,104092
2020-01-19,20.000000,5.000000,-3.000000,0.925000,71601
2020-01-20,0.000000,3.375000,-4.000000,0.975000,140703
2020-01-21,21.250000,6.625000,-0.250000,0.550000,142298
2020-01-22,20.000000,9.750000,1.500000,0.762500,135284
2020-01-23,5.000000,7.500000,-0.500000,0.912500,135654
2020-01-24,12.500000,8.750000,0.250000,0.662500,52419
2020-01-25,0.000000,10.750000,1.500000,1.600000,43097
2020-01-26,18.750000,8.000000,3.250000,1.425000,57311
2020-01-27,47.500000,9.000000,3.750000,1.937500,64497
2020-01-28,25.000000,8.250000,2.000000,0.862500,128624
2020-01-29,18.750000,8.125000,1.500000,1.825000,135221
2020-01-30,20.000000,7.125000,0.750000,0.875000,134181
2020-01-31,7.500000,6.875000,-2.000000,0.687500,136578
2020-02-01,15.000000,4.625000,-2.000000,0.975000,84037
2020-02-02,30.000000,3.000000,-2.500000,1.187500,54335
2020-02-03,11.250000,4.625000,-5.250000,0.812500,121310
2020-02-04,25.000000,-2.000000,-9.000000,1.525000,122585
2020-02-05,0.000000,-0.375000,-8.000000,1.112500,120365
2020-02-06,8.750000,1.875000,-4.000000,0.637500,119616
2020-02-07,21.250000,4.375000,-2.750000,0.837500,126379
2020-02-08,0.000000,4.000000,-3.000000,0.912500,80318
2020-02-09,16.250000,8.375000,0.000000,0.762500,53850
2020-02-10,0.000000,12.375000,1.250000,0.675000,121916
2020-02-11,32.500000,9.500000,4.000000,0.612500,129505
2020-02-12,42.500000,10.750000,3.750000,0.675000,125749
2020-02-13,12.500000,12.875000,4.250000,0.587500,130110
2020-02-14,2.500000,14.500000,4.000000,0.662500,137288
2020-02-15,56.250000,2.375000,-0.250000,1.337500,90893
2020-02-16,63.750000,-2.375000,-4.500000,4.325000,59736
2020-02-17,30.000000,3.250000,-5.000000,1.387500,131576
2020-02-18,2.500000,8.125000,-0.875000,0.750000,131035
2020-02-19,5.000000,9.750000,0.250000,0.600000,132009
2020-02-20,12.500000,10.875000,1.750000,0.600000,130830
2020-02-21,38.750000,7.500000,2.750000,1.025000,127462
2020-02-22,2.500000,7.750000,-0.500000,2.675000,74278
2020-02-23,5.000000,11.500000,2.750000,0.987500,43716
2020-02-24,55.000000,10.250000,5.250000,0.812500,108157
2020-02-25,26.250000,10.375000,2.500000,0.950000,100307
2020-02-26,11.250000,10.125000,2.000000,0.750000,102380
2020-02-27,18.750000,7.375000,4.000000,1.212500,100646
2020-02-28,42.500000,10.500000,4.250000,0.675000,98138
2020-02-29,5.000000,11.000000,1.750000,0.625000,54989
2020-03-01,13.750000,8.375000,0.500000,1.512500,34548
2020-03-02,7.500000,9.500000,1.250000,2.000000,97240
2020-03-03,22.500000,5.250000,1.000000,3.925000,99249
2020-03-04,12.500000,7.250000,-1.750000,8.025000,98871
2020-03-05,0.000000,7.875000,-0.250000,1.100000,98735
2020-03-06,10.000000,11.375000,2.750000,0.887500,102637
2020-03-07,10.000000,14.750000,3.750000,0.925000,59434
2020-03-08,5.000000,14.875000,5.750000,0.875000,37739
2020-03-09,52.500000,9.750000,5.250000,1.212500,100584
2020-03-10,13.750000,8.125000,0.750000,5.312500,97101
2020-03-11,2.500000,11.500000,3.250000,3.550000,99604
2020-03-12,25.000000,8.625000,2.750000,2.550000,97732
2020-03-13,0.000000,8.875000,-0.250000,3.425000,100908
2020-03-14,8.750000,8.125000,1.750000,1.737500,59881
2020-03-15,6.250000,8.000000,0.250000,2.025000,37540
2020-03-16,13.750000,11.500000,4.000000,1.712500,97555
2020-03-17,0.000000,15.375000,5.000000,1.300000,98752
2020-03-18,8.750000,10.875000,7.250000,7.025000,101231
2020-03-19,0.000000,12.750000,5.250000,8.250000,97400
2020-03-20,15.000000,16.500000,7.250000,3.400000,104470
2020-03-21,20.000000,15.375000,4.750000,1.512500,61704
2020-03-22,0.000000,14.125000,4.750000,1.237500,40727
2020-03-23,0.000000,15.750000,5.250000,1.200000,101521
2020-03-24,0.000000,16.875000,6.750000,0.887500,102588
2020-03-25,20.000000,18.125000,9.250000,0.987500,104178
2020-03-26,58.750000,16.375000,8.500000,3.300000,101367
2020-03-27,10.000000,12.500000,3.750000,5.625000,104553
2020-03-28,2.500000,13.625000,3.250000,3.662500,62898
2020-03-29,0.000000,14.875000,4.500000,1.050000,42082
2020-03-30,0.000000,16.750000,6.000000,0.937500,102150
2020-03-31,17.500000,17.625000,7.250000,1.225000,102899
2020-04-01,2.500000,15.375000,5.250000,1.400000,103289
2020-04-02,5.000000,15.625000,6.500000,1.075000,102626
2020-04-03,0.000000,13.000000,6.000000,3.950000,106645
2020-04-04,0.000000,14.000000,2.750000,5.300000,64340
2020-04-05,0.000000,15.500000,5.500000,2.037500,42483
2020-04-06,6.250000,15.875000,6.500000,1.175000,105136
2020-04-07,0.000000,14.250000,4.750000,4.187500,106121
2020-04-08,2.500000,14.000000,4.500000,1.575000,106871
2020-04-09,5.000000,14.875000,6.250000,1.212500,106057
2020-04-10,15.000000,15.625000,6.750000,1.000000,109736
2020-04-11,2.500000,16.000000,6.125000,2.425000,67869
2020-04-12,12.500000,18.750000,5.750000,4.575000,43468
2020-04-13,0.000000,18.125000,8.000000,1.312500,107343
2020-04-14,0.000000,19.125000,8.500000,1.750000,113185
2020-04-15,0.000000,22.375000,10.250000,1.637500,60202
2020-04-16,40.000000,17.375000,10.500000,3.862500,109178
2020-04-17,37.500000,17.750000,9.250000,2.625000,108167
2020-04-18,12.500000,17.250000,10.000000,1.087500,71947
2020-04-19,41.250000,14.375000,7.500000,1.062500,44522
2020-04-20,20.000000,10.625000,5.750000,3.287500,108732
2020-04-21,22.500000,9.750000,5.000000,9.837500,110963
2020-04-22,12.500000,12.500000,5.250000,3.062500,110935
2020-04-23,11.250000,14.750000,7.500000,2.425000,112134
2020-04-24,11.250000,16.375000,10.250000,8.750000,116385
2020-04-25,5.000000,17.125000,7.000000,4.387500,75280
2020-04-26,10.000000,17.125000,7.500000,2.187500,50864
2020-04-27,2.500000,17.875000,7.750000,1.812500,113977
2020-04-28,0.000000,19.750000,10.250000,1.662500,116485
2020-04-29,7.500000,22.250000,12.000000,1.425000,121219
2020-04-30,12.500000,24.625000,15.250000,1.387500,66878
2020-05-01,13.750000,23.125000,16.000000,1.225000,72688
2020-05-02,30.000000,24.000000,16.500000,1.012500,68891
2020-05-03,13.750000,24.000000,15.500000,1.012500,52270
2020-05-04,20.000000,20.625000,12.750000,1.112500,100974
2020-05-05,7.500000,25.250000,12.000000,0.987500,58973
2020-05-06,2.500000,25.375000,13.750000,1.062500,121177
2020-05-07,20.000000,24.125000,14.250000,1.137500,121647
2020-05-08,65.000000,20.250000,14.750000,2.075000,125770
2020-05-09,58.750000,20.000000,13.500000,2.237500,71707
2020-05-10,12.500000,20.500000,12.000000,1.350000,53060
2020-05-11,28.750000,19.125000,11.250000,1.625000,116955
2020-05-12,0.000000,20.750000,11.500000,2.475000,116194
2020-05-13,7.500000,24.375000,13.500000,2.237500,118061
2020-05-14,42.500000,19.750000,15.000000,1.650000,116159
2020-05-15,65.000000,21.125000,15.000000,1.987500,114361
2020-05-16,21.250000,23.875000,15.250000,0.937500,76052
2020-05-17,37.500000,24.375000,15.000000,1.325000,52193
2020-05-18,66.250000,17.375000,11.250000,3.987500,111102
2020-05-19,31.250000,18.625000,11.000000,1.850000,113561
2020-05-20,5.000000,21.625000,12.250000,1.662500,118461
2020-05-21,18.750000,24.250000,14.000000,1.012500,117310
2020-05-22,35.000000,23.125000,14.000000,0.987500,119294
2020-05-23,35.000000,21.250000,14.500000,3.062500,77182
2020-05-24,20.000000,21.625000,14.000000,1.462500,47118
2020-05-25,7.500000,20.875000,13.750000,0.950000,116062
2020-05-26,17.500000,22.625000,13.000000,1.137500,115105
2020-05-27,18.750000,21.250000,13.750000,1.062500,116015
